next attach if 1	complex if 1	Entry	Equation	Pathway	direction	Enzyme1	Rate1(1/s)	Enzyme2	Rate2(1/s)	Enzyme3	Rate3(1/s)	Note	Lower Bound	Upper Bound
1	0	R01786	C00002 + C00267 <=> C00008 + C00668	Glycolysis		2.7.1.1	0.00091 - 483.3	2.7.1.2	0.007 - 1492				0	500
1	0	R02189	C00404 + C00267 <=> C00404 + C00668	Glycolysis		2.7.1.63	33.6 - 136						33	136
0	0	R09085	C00267 + C00008 <=> C00668 + C00020	Glycolysis		2.7.1.147	23							
0	0	R02740	C00668 <=> C05345	Glycolysis		5.3.1.9	0.04 - 2765						0	2800
1	0	R04779	C00002 + C05345 <=> C00008 + C05378	Glycolysis		2.7.1.11	0.015 - 185						0	185
0	0	R09084	C05345 + C00008 <=> C05378 + C00020	Glycolysis		2.7.1.146	0.0048 - 151						0	151
0	0	R01070	C05378 <=> C00111 + C00118	Glycolysis		4.1.2.13	0.0002 - 64.5						0	65
0	0	R01015	C00118 <=> C00111	Glycolysis	-1	5.3.1.1	63 - 1080						63	1080
1	0	R01061	C00118 + C00009 + C00003 <=> C00236 + C00004 + C00080	Glycolysis		1.2.1.12æ	0.002 - 234	1.2.1.59	n/a				0	234
0	0	R01063	C00118 + C00009 + C00006 <=> C00236 + C00005 + C00080	Glycolysis		1.2.1.13	n/a	1.2.1.59	n/a					
0	0	R07159	C00118 + C00001 + 2 C00139 <=> C00197 + 2 C00080 + 2 C00138	Glycolysis		1.2.7.6	n/a							
0	0	R01512	C00002 + C00197 <=> C00008 + C00236	Glycolysis	-1	2.7.2.3	0.78 - 2633						0	2633
0	0	R01518	C00631 <=> C00197	Glycolysis	-1	5.4.2.11	0.0009 - 3200	5.4.2.12	1.51 - 434				0	3200
0	0	R00658	C00631 <=> C00074 + C00001	Glycolysis		4.2.1.11	0.018 - 230						0	230
0	0	R00200	C00002 + C00022 <=> C00008 + C00074	Glycolysis	-1	2.7.1.40	0.38 - 3204						0	3204
0	0	R00351	C00158 + C00010 <=> C00024 + C00001 + C00036	TCA	-1	2.3.3.1	0.275 - 167	2.3.3.3æ	n/a	2.3.3.16	0.0001 - 174		0	167
1	1	R01325	C00158 <=> C00417 + C00001	TCA		4.2.1.3	5.3							
1	0	R01900	C00311 <=> C00417 + C00001	TCA	-1	4.2.1.3	3.3 - 5.2						3.3	5.2
0	0	R01324	C00158 <=> C00311	TCA		4.2.1.3	5.3							
1	1	R01899	C00311 + C00006 <=> C05379 + C00005 + C00080	TCA		1.1.1.42	4.5 - 255						4	255
1	0	R00268	C05379 <=> C00026 + C00011	TCA		1.1.1.42	n/a							
1	0	R00267	C00311 + C00006 <=> C00026 + C00011 + C00005 + C00080	TCA		1.1.1.42	4.5 - 255						4	255
0	0	R00709	C00311 + C00003 <=> C00026 + C00011 + C00004 + C00080	TCA		1.1.1.41	0.27 - 73	1.1.1.286	10.9 - 171				0	73
1	1	R00621	C00026 + C00068 <=> C05381 + C00011	TCA		1.2.4.2	n/a							
1	0	R03316	C05381 + C15972 <=> C16254 + C00068	TCA		1.2.4.2	n/a							
0	0	R01197	2 C00138 + C00091 + C00011 + 2 C00080 <=> 2 C00139 + C00026 + C00010	TCA	-1	1.2.7.3	17	1.2.7.11	1.7 - 19					
0	0	R02570	C00091 + C15973 <=> C00010 + C16254	TCA	-1	2.3.1.61	n/a							
0	0	R07618	C15973 + C00003 <=> C15972 + C00004 + C00080	TCA		1.8.1.4	14.4 - 649						14	649
1	0	R00405	C00002 + C00042 + C00010 <=> C00008 + C00009 + C00091	TCA	-1	6.2.1.5	201							
1	0	R00432	C00044 + C00042 + C00010 <=> C00035 + C00009 + C00091	TCA	-1	6.2.1.4	n/a							
1	0	R00727	C00081 + C00042 + C00010 <=> C00104 + C00009 + C00091	TCA	-1	6.2.1.4	n/a							
0	0	R10343	C00091 + C00033 <=> C00024 + C00042	TCA		2.8.3.18	201							
0	0	R02164	C15602 + C00042 <=> C15603 + C00122	TCA		1.3.5.1	0.1 - 260	1.3.5.4	0.3 - 80				0	260
0	0	R01082	C00149 <=> C00122 + C00001	TCA	-1	4.2.1.2	1.9 - 1150						0	1150
1	0	R00342	C00149 + C00003 <=> C00036 + C00004 + C00080	TCA		1.1.1.37	250 - 4729	1.1.1.299	0.269 - 0.74				250	4729
0	0	R00361	C00149 + C15602 <=> C00036 + C15603	TCA		1.1.5.4	n/a							
1	0	R00209	C00022 + C00010 + C00003 <=> C00024 + C00011 + C00004 + C00080	Pyruvate_Acetyl-CoA		1.2.4.1	0.077 - 486	1.8.1.4	14.4 - 649	2.3.1.12	n/a		0	486
0	0	R01196	2 C00138 + C00024 + C00011 + 2 C00080 <=> 2 C00139 + C00022 + C00010	Pyruvate_Acetyl-CoA	-1	1.2.7.1	27	1.2.7.11	2.2 - 51					
0	0	R10619	C00124 <=> C00984	Gala_Degredation		5.1.3.3	12000							
0	0	R01092	C00002 + C00984 <=> C00008 + C00446	Gala_Degredation		2.7.1.6	0.05 - 0.65						0	1
0	0	R00955	C00029 + C00446 <=> C00103 + C00052	Gala_Degredation		2.7.7.12	0.0533 - 987						0	1000
0	0	R00291	C00029 <=> C00052	Gala_Degredation	-1	5.1.3.2	2 - 73.95						0	75
0	0	R00959	C00103 <=> C00668	Sugar_Biosynthesis	-1	5.4.2.2	0.03 - 398	5.4.2.5	n/a				0	400
