Reaction	Direction	Expression
R01786	1	1
R01786	-1	1
R02740	1	1
R02740	-1	1
R04779	1	1
R04779	-1	1
R01070	1	1
R01070	-1	1
R01015	1	1
R01015	-1	1
R01061	1	1
R01061	-1	1
R07159	1	1
R07159	-1	1
R01512	1	1
R01512	-1	1
R01518	1	1
R01518	-1	1
R00658	1	1
R00658	-1	1
R00200	1	1
R00200	-1	1
R00351	1	1
R00351	-1	1
R01325	1	1
R01325	-1	1
R01900	1	1
R01900	-1	1
R01899	1	1
R01899	-1	1
R00268	1	1
R00268	-1	1
R01197	1	1
R01197	-1	1
R02570	1	1
R02570	-1	1
R07618	1	1
R07618	-1	1
R00405	1	1
R00405	-1	1
R02164	1	1
R02164	-1	1
R01082	1	1
R01082	-1	1
R00342	1	1
R00342	-1	1
R00209	1	1
R00209	-1	1
R10619	1	1
R10619	-1	1
R01092	1	1
R01092	-1	1
R00955	1	1
R00955	-1	1
R00291	1	1
R00291	-1	1
R00959	1	1
R00959	-1	1
R00289	1	1
R00289	-1	1
R01513	1	1
R01513	-1	1
R04173	1	1
R04173	-1	1
R00582	1	1
R00582	-1	1
R00226	1	1
R00226	-1	1
R05071	1	1
R05071	-1	1
R04440	1	1
R04440	-1	1
R04441	1	1
R04441	-1	1
R01214	1	1
R01214	-1	1
R08648	1	1
R08648	-1	1
R05069	1	1
R05069	-1	1
R05068	1	1
R05068	-1	1
R05070	1	1
R05070	-1	1
R02199	1	1
R02199	-1	1
R07399	1	1
R07399	-1	1
R03896	1	1
R03896	-1	1
R03898	1	1
R03898	-1	1
R00994	1	1
R00994	-1	1
R00271	1	1
R00271	-1	1
R03444	1	1
R03444	-1	1
R04371	1	1
R04371	-1	1
R01934	1	1
R01934	-1	1
R01939	1	1
R01939	-1	1
R03098	1	1
R03098	-1	1
R04863	1	1
R04863	-1	1
R04390	1	1
R04390	-1	1
R02315	1	1
R02315	-1	1
R00715	1	1
R00715	-1	1
R09720	1	1
R09720	-1	1
R00149	1	1
R00149	-1	1
R01398	1	1
R01398	-1	1
R01954	1	1
R01954	-1	1
R01086	1	1
R01086	-1	1
R00551	1	1
R00551	-1	1
R01826	1	1
R01826	-1	1
R03083	1	1
R03083	-1	1
R03084	1	1
R03084	-1	1
R02413	1	1
R02413	-1	1
R02412	1	1
R02412	-1	1
R03460	1	1
R03460	-1	1
R01714	1	1
R01714	-1	1
R00729	1	1
R00729	-1	1
R02521	1	1
R02521	-1	1
R02519	1	1
R02519	-1	1
R03181	1	1
R03181	-1	1
R01364	1	1
R01364	-1	1
R00261	1	1
R00261	-1	1
R01648	1	1
R01648	-1	1
R10178	1	1
R10178	-1	1
R00713	1	1
R00713	-1	1
R00714	1	1
R00714	-1	1
R10001	1	1
R10001	-1	1
R10002	1	1
R10002	-1	1
I90001	1	1
I90002	1	1
I90003	1	1
