Reaction	Direction	Expression
rxn02201_c0	1	0.46152862534061945
rxn00351_c0	1	0.2589881522637508
rxn00836_c0	1	0.976604260070154
rxn02209_c0	1	0.0102356534226975
rxn02209_c0	-1	0.6395622126734721
rxn00390_c0	1	0.8215270505313951
rxn00390_c0	-1	0.8450275591731943
rxn08180_c0	1	0.9610003674140534
rxn05318_c0	1	0.6817436538477967
rxn05318_c0	-1	0.9306015180319107
rxn01094_c0	1	0.17387341608686635
rxn08709_c0	1	0.47724696511412346
rxn08709_c0	-1	0.08194973367634362
rxn11567_c0	1	0.662971302680277
rxn11567_c0	-1	0.24294478274850684
rxn00423_c0	1	0.7803782032459147
rxn00364_c0	1	0.4870979422935826
rxn00364_c0	-1	0.923611604884169
rxn05561_c0	1	0.8601859836909729
rxn05561_c0	-1	0.6569346913144076
rxn03408_c0	1	0.8141883994607242
rxn03408_c0	-1	0.049759480825740665
rxn02177_c0	1	0.33277090634958695
rxn05250_c0	1	0.09614999836278659
rxn00646_c0	1	0.5222843787678508
rxn05440_c0	1	0.3265898014606077
rxn00935_c0	1	0.9312799517545309
rxn00935_c0	-1	0.008950635532040008
rxn01673_c0	1	0.9347257777817125
rxn01673_c0	-1	0.37353597764644375
rxn00247_c0	1	0.6216544083901855
rxn02342_c0	1	0.5738412157216628
rxn02342_c0	-1	0.21097117814848132
rxn10311_c0	1	0.7909340007487301
rxn10311_c0	-1	0.5593435035630933
rxn00642_c0	1	0.8264050969532261
rxn00022_c0	1	0.5528158497317267
rxn00973_c0	1	0.418583250231252
rxn00973_c0	-1	0.3410360997179893
rxn02000_c0	1	0.21168865182668029
rxn02000_c0	-1	0.49633465350644634
rxn03239_c0	1	0.05098069196732036
rxn03239_c0	-1	0.2915953460383921
rxn03120_c0	1	0.9525275165855807
rxn03120_c0	-1	0.6887501848320248
rxn11962_c0	1	0.4784000052749452
rxn11962_c0	-1	0.1272912240156654
rxn00322_c0	1	0.25191155764451956
rxn05063_c0	1	0.37852816362882025
rxn05457_c0	1	0.27865059943334236
rxn05457_c0	-1	0.18115267555547077
rxn04271_c0	1	0.5437745480900897
rxn04271_c0	-1	0.9573536781579882
rxn13783_c0	1	0.8712660044812486
rxn10118_c0	1	0.0022372477643723965
rxn05392_c0	1	0.23413361366324525
rxn12008_c0	1	0.2842433351451722
rxn04600_c0	1	0.9640345112553804
rxn04600_c0	-1	0.5478430027056231
rxn04070_c0	1	0.6332924913740989
rxn00199_c0	1	0.19490028674460114
rxn01358_c0	1	0.671200157231078
rxn01358_c0	-1	0.376163809852903
rxn10231_c0	1	0.06986202102715211
rxn02944_c0	1	0.5535197806773808
rxn02944_c0	-1	0.26332493114345523
rxn01867_c0	1	0.21661600247714685
rxn10270_c0	1	0.4986396896388714
rxn12637_c0	1	0.4396057857669323
rxn12637_c0	-1	0.7207178113399607
rxn03046_c0	1	0.04604057448401744
rxn03046_c0	-1	0.2669299893066436
rxn09240_c0	1	0.5789595381581983
rxn09240_c0	-1	0.005500576158328552
rxn01219_c0	1	0.3312118282721096
rxn01219_c0	-1	0.08767558208531545
rxn05958_c0	1	0.9258531531054038
rxn00519_c0	1	0.24179352898291062
rxn00519_c0	-1	0.41155997155119284
rxn00258_c0	1	0.6828088753851292
rxn00258_c0	-1	0.38250275821240876
rxn00800_c0	1	0.7991692717337433
rxn00800_c0	-1	0.09074191467010329
rxn01705_c0	1	0.006522467456840708
rxn01705_c0	-1	0.0023072824156881167
rxn09177_c0	1	0.6114358919100688
rxn00211_c0	1	0.38167032226818887
rxn00211_c0	-1	0.4356960826586107
rxn00179_c0	1	0.6649204251616524
rxn00179_c0	-1	0.9309758868151014
rxn01210_c0	1	0.006838714807765212
rxn05162_c0	1	0.8235063204456538
rxn00730_c0	1	0.13407507289727405
rxn00730_c0	-1	0.1182801536448117
rxn00192_c0	1	0.6942559840473665
rxn01218_c0	1	0.8522853103060734
rxn05367_c0	1	0.6131808099101139
rxn03360_c0	1	0.9969814937473773
rxn03360_c0	-1	0.5290304643402663
rxn00509_c0	1	0.6929827086908735
