Specie	Concentration
C00008	0.00112
C01251	0.001
C02612	0.002
C04272	0.002
C14463	0.001
C06006	0.001
C06010	0.001
C00671	0.001
C00149	0.0034
C04002	0.002
C16254	0.002
C04691	0.002
C02226	0.002
C00322	0.001
C00109	0.001
C00026	8.8E-4
C00631	0.001
C01179	0.001
C05381	0.002
C00944	0.001
C02637	0.002
C04181	0.001
C00141	0.001
C00197	0.003
C00236	0.001
C03232	0.001
C00334	0.001
C01061	0.001
C01036	0.001
C01269	0.002
C00033	0.002
C00164	0.002
C00024	6.1E-4
C05535	0.001
C00984	0.001
C00446	0.001
C00267	0.01
C00668	0.002
C00014	0.001
C00020	5.6E-4
C00002	0.002154
C05378	0.03
C05345	0.001
C00169	0.001
C00251	0.001
C00417	1.6E-5
C00158	0.004
C00011	0.001
C00010	0.0014
C06032	0.001
C00279	0.001
C00124	0.001
C00103	0.002
C00118	0.001
C00013	0.001
C15973	0.001
C15972	0.001
C00122	2.4E-4
C00035	0.00136
C00111	3.7E-4
C00044	0.0049
C00080	0.002
C00001	0.002
C11482	0.001
C00544	0.001
C05662	0.002
C00027	0.002
C00530	0.002
C00104	2.4E-5
C00311	0.002
C00081	2.1E-4
C00956	0.001
C04076	0.001
C05560	0.001
C00041	0.0026
C00062	5.7E-4
C00049	0.0084
C00327	0.0014
C00025	0.096
C00407	0.002
C00047	4.1E-4
C00077	1.0E-5
C00065	6.8E-5
C00082	2.9E-5
C00183	0.008
C03406	0.002
C00449	0.002
C00003	0.0026
C00004	1.66E-4
C00006	2.1E-6
C00005	1.2E-4
C01005	0.001
C00009	0.001
C00036	0.002
C05379	0.002
C00139	0.002
C00007	0.001
C00074	1.8E-4
C00404	0.001
C00022	0.001
C15602	0.001
C00138	0.001
C00493	1.4E-5
C03175	0.002
C00042	5.7E-4
C00232	0.001
C00091	2.3E-4
C00068	7.6E-4
C00052	0.002
C00029	0.005
C00086	0.002
C00075	0.0166
C15603	0.002
C06007	0.002
C01352	0.001
C00016	0.002
APS	0.001
Cbl	0.002
GRF2	0.001
INS	0.001
CIP4_2	0.002
Exo70	0.002
TC10	0.001
