Time,C00008,C01251,C02612,C04272,C14463,C06006,C06010,C00671,C00149,C04002,C16254,C04691,C02226,C00322,C00109,C00026,C00631,C01179,C05381,C00944,C02637,C04181,C00141,C00197,C00236,C03232,C00334,C01061,C01036,C01269,C00033,C00164,C00024,C05535,C00984,C00446,C00267,C00668,C00014,C00020,C00002,C05378,C05345,C00169,C00251,C00417,C00158,C00011,C00010,C06032,C00279,C00124,C00103,C00118,C00013,C15973,C15972,C00122,C00035,C00111,C00044,C00080,C00001,C11482,C00544,C05662,C00027,C00530,C00104,C00311,C00081,C00956,C04076,C05560,C00041,C00062,C00049,C00327,C00025,C00407,C00047,C00077,C00065,C00082,C00183,C03406,C00449,C00003,C00004,C00006,C00005,C01005,C00009,C00036,C05379,C00139,C00007,C00074,C00404,C00022,C15602,C00138,C00493,C03175,C00042,C00232,C00091,C00068,C00052,C00029,C00086,C00075,C15603,C06007,C01352,C00016,APS,Cbl,GRF2,INS,CIP4_2,Exo70,TC10,
0.0,0.00112,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.0017,0.002,0.002,0.002,0.001,0.001,0.002,8.8E-4,0.001,0.002,0.002,0.002,0.001,0.001,0.002,0.0015,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,6.1E-4,0.002,0.001,0.002,0.005253573272001336,0.001,0.002,5.6E-4,0.002154,0.03,0.001,0.001,0.001,3.2E-5,0.002,0.001,0.0014,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,1.2E-4,6.8E-4,7.4E-4,0.0049,0.002,0.001,0.001,0.002,0.001,0.002,0.001,2.4E-5,0.001,2.1E-4,0.002,0.001,0.001,0.0026,0.00114,0.0084,0.0014,0.192,0.0020039558280143736,4.1354966494921346E-4,2.0E-5,7.29379153004617E-5,3.186398542372934E-5,0.004004429581894371,0.002,0.001,0.0026,8.3E-5,4.2E-6,2.4E-4,0.001,0.001,0.001,0.001,0.002,0.001,1.8E-4,0.001,0.001,0.002,0.002,2.8E-5,0.001,5.7E-4,0.001,4.6E-4,3.8E-4,0.001,0.0025,0.001,0.0166,0.002,0.002,0.001,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.001,
10.0,0.002875434552251435,1.0E-7,1.0E-7,1.0E-7,0.015315788889591992,1.0E-7,1.0E-7,1.0E-7,1.0E-7,0.0020808,1.0E-7,1.0E-7,0.0010909000000000001,1.0E-7,0.0020060000099668,0.010076254760460729,0.01237903125917483,0.001519702590418562,0.002,1.0E-7,0.00100089521176,1.0E-7,1.0E-7,1.0E-7,1.0E-7,1.0E-7,0.011996693981719707,0.03200057967010641,1.0E-7,1.0E-7,0.002,0.015507920005486722,6.105340038333612E-4,0.00200987840042,0.012735045518854973,8.280031332085838E-4,0.0026965001181643617,1.0E-7,0.001999779438530254,5.708950884095764E-4,8.55246299478384E-4,1.0E-7,8.667908668795027E-4,0.0010011999992205801,0.0010009,1.9232825808176114E-4,1.0E-7,0.01698336609170095,0.0023185237721153476,8.849090005655393E-4,9.999982400000001E-4,1.0E-7,1.0E-7,3.3187473258197155E-4,0.0020168181248979584,2.50099951394904E-4,0.00210402829978028,8.57550212620274E-4,6.8E-4,1.0E-7,0.0049,0.0021548895845682195,0.0012490820423311645,9.901251371091852E-4,1.0E-7,8.009908991368573E-4,0.0019997850916867147,0.001,2.4E-5,1.0E-7,2.1E-4,0.00198127350487083,0.0010000094016941166,0.0010069565781200818,0.027702648118671087,0.017153242560139375,0.008399603449098533,0.001398418828080884,1.0E-7,0.0018059879640109186,4.1713180595699776E-4,0.005377420640695971,2.7761225670942894E-4,3.494285303588798E-5,0.003605362639913812,1.0E-7,9.999675234173377E-4,0.0024512537370319034,2.232356027499273E-4,4.298971135293403E-6,2.3990105266971298E-4,7.99575526922222E-4,0.004594699132186006,0.0010000020097103515,1.0E-7,0.0019999762234258205,7.178060276600558E-4,0.002257028754259244,0.001,1.0E-7,0.001988771510042524,0.0020000237760088575,2.8053236684938484E-5,9.773821392178056E-4,5.591074153260386E-4,0.0061869051072703865,3.46822732765547E-4,3.8E-4,1.0E-7,1.0E-7,0.006302677605998226,0.28620908502895565,0.002010947858944015,1.0E-7,9.996729322765926E-4,0.0020003269595539495,0.001,0.002,1.0E-7,1.0E-7,0.00196,0.0019608,0.001,
20.0,0.003248185462762342,7.853574839433239E-5,1.0E-7,1.0E-7,0.00761802508699353,7.60904344865702E-4,1.0E-7,1.8307593320617753E-4,9.624393879298174E-5,0.0029200057657288144,8.475367721240727E-5,1.0E-7,0.0011666284016967655,2.17307009068189E-5,0.0020289816389785814,1.0E-7,1.0E-7,0.001246785766036007,0.002,2.249740765351446E-7,0.0010030147703311441,1.1427121042980722E-5,1.1035903718194902E-6,1.0E-7,1.0E-7,3.451326634103842E-7,0.019349334628305674,1.0E-7,1.0E-7,2.161963341028916E-5,0.002,0.01788271800859819,6.105992586626457E-4,0.0020197233978016867,1.0E-7,8.277136962677875E-4,0.0023735325321036197,5.360488359111068E-4,0.0019996022117277088,5.811517478231715E-4,6.608655972350732E-4,1.901248182911081E-5,0.006117841238913612,1.0E-7,0.0012166364506667512,1.8057851660329167E-4,1.0E-7,0.014092961579386665,6.36873794112307E-4,7.892988828051465E-4,9.999702316967239E-4,1.0E-7,0.0049360456724463365,1.0E-7,3.2200564542193887E-4,5.511073016011492E-4,0.002320132427438585,7.613773821780229E-4,6.8E-4,7.365992731634325E-4,0.0049,0.002419818675124924,1.0E-7,9.802841079006982E-4,3.22028976484622E-4,0.0014065188039267412,0.001999585668850233,0.001,2.4E-5,1.0E-7,2.1E-4,0.001968212376378256,0.001000021126110789,0.001010177733295307,0.0090580854246513,0.008496778865744065,0.0083992929437281,0.0013341993513516484,6.815031323488494E-4,0.0018411336915217528,4.206814733573831E-4,0.005099669864763325,2.805220935463421E-4,3.800624140905082E-5,0.003609976641519349,1.6088787601055754E-5,9.999675249224482E-4,0.0021716528927358124,4.7093815091789635E-4,4.360659506767117E-6,2.398393660211678E-4,8.015939801357466E-4,0.0047701901532513045,0.0010083618967571225,1.0E-7,0.0019999762233627793,1.0E-7,0.0019427301786154403,0.001,0.0024940199923565794,0.0019778052500776387,0.0020000237760718987,2.8191123281857387E-5,9.58273388004692E-4,5.484169625886626E-4,0.006908966502248424,6.412681722263584E-4,3.8E-4,1.0E-7,0.03889827834121964,0.005981474274923591,0.3025507920625317,0.0020216413694007563,1.0E-7,9.992532260301064E-4,0.0020007464886725003,0.001,0.002,1.0E-7,1.0E-7,0.00192156832,0.0019231218883814399,0.001,
30.0,0.0035532899595417658,1.0E-7,1.0E-7,1.0E-7,0.009017509620190958,1.0E-7,6.618422114729159E-4,1.5288606702468504E-4,1.0E-7,0.003061654696915665,1.0E-7,1.0E-7,0.0012465571116825945,5.212733143902977E-5,0.0019955194009530263,7.4087565263083E-5,9.810001942730178E-5,0.001291938611594925,0.002,1.0E-7,0.0010040089514196605,0.010735720901531137,4.590109087245032E-6,8.812377010470974E-4,5.568478147932748E-6,0.0019140881780094466,0.004233370077240253,1.4000496023614277E-4,2.469174730315685E-4,1.0E-7,0.002,0.01626676470683232,6.109096427435711E-4,0.0020294969116081505,9.639394546023304E-5,1.0E-7,0.002247149621965961,0.017665873185341702,0.001999395585478843,5.912326426599565E-4,8.329463637735352E-4,1.0E-7,0.018692919815878825,6.341746721103533E-5,0.0012170560919450455,2.0966544676850941E-4,1.0E-7,0.004519674661789797,9.898319928099226E-4,6.93229410088777E-4,9.999704205616575E-4,0.0037558578184093217,0.005761842627084184,0.013605490612591654,0.010330409798847712,7.206135397735719E-6,0.002322530543885474,0.00846728913128457,6.8E-4,1.0E-7,0.0049,0.004383366797941506,0.0029098291025467706,9.705228223548706E-4,0.017497745873818926,0.0011847592562880213,0.0019993790717925367,0.001,2.4E-5,9.671439104369296E-5,2.1E-4,0.0019532024453436116,0.001000042455972047,0.0010157192920797252,0.040975544407579764,0.009784829792558196,0.008398919818477952,0.00147716361032386,1.0E-7,0.0018437292905625154,4.2429432763589663E-4,1.1333470194887818E-4,6.565192175734041E-4,4.107680254407206E-5,0.003611731794366179,1.0E-7,9.999043343253643E-4,2.12455979259936E-4,6.623989203354392E-4,4.3810876067304105E-6,2.3981943601678773E-4,4.333651760669005E-4,0.0049206368983663335,0.001008343660281535,1.0E-7,0.0019999365640293236,0.0077456057626593,0.0026491426262078887,0.001,0.006836770263402826,0.001968670412798692,0.0020000634338323813,2.8307350623899782E-5,9.327826911407152E-4,5.398233635463563E-4,0.015441931194561298,6.370902523444563E-4,3.8E-4,0.007862031116456421,0.028611538212874023,0.011919994790548257,0.011108720620892886,0.0020305569300408197,1.0E-7,9.987520386884805E-4,0.0020012474228970865,0.001,0.002,1.0E-7,1.0E-7,0.0018846142190378765,0.0018868784598235736,0.001,
40.0,0.003909426853881748,1.1746809224158985E-4,1.0E-7,1.0E-7,0.008116663864661847,9.471954182742288E-4,0.007568345525959066,1.5520373178170926E-4,0.0022173031113315914,0.00426483173637612,3.800109825442838E-6,1.0E-7,0.0012802446442597096,5.465884192447499E-5,0.0018609912301744023,1.0E-7,0.016083918417509765,1.0E-7,0.002,3.9210024023685587E-7,0.0010076272624688271,0.019566160537403697,5.592270423011624E-6,1.0E-7,1.0E-7,0.001914049544975848,0.039607583356914285,0.030449366766341576,0.01914286507761347,2.4409563785869406E-5,0.002,0.017890559380039427,6.109460288918566E-4,0.002039213374684342,0.014156860100510246,4.818622955309448E-4,0.0024747901271288753,1.0E-7,0.002000051931760225,6.01383224307817E-4,6.161438249781509E-5,4.216926715965446E-5,0.007785034928608721,1.3150338855955702E-4,0.001460552860692399,0.0011011839520085076,4.070487024446258E-6,0.007281579208188346,9.610231691627192E-4,6.596865969252133E-4,9.998935341441746E-4,1.0E-7,1.0E-7,1.0E-7,0.0025606069628289598,3.5507903393935706E-5,0.0023234678203323308,6.539064841206494E-4,6.8E-4,0.0016628706863851784,0.0049,0.004407247757329597,0.015186693206129061,9.60809222597108E-4,0.022771804245270852,0.0027676581472437555,0.002002804677657669,0.001,2.4E-5,0.0018051994079352604,2.1E-4,0.0019522591126339562,0.0010000640155395331,0.001007025588925006,0.04772590511056616,1.0E-7,0.008398889241915454,0.001413985670516348,7.228068098489157E-4,0.0018757288534090443,4.278762545362094E-4,1.602434850493762E-4,0.0017093097805992003,4.051518213007462E-5,0.0036171682973148225,1.0E-7,9.998720733616281E-4,1.84777068062629E-4,6.864287785634362E-4,2.5116709887046114E-6,2.4084079284040341E-4,1.0E-7,0.0051203580665159605,0.0010246375453353935,1.0E-7,0.0019999365624167316,0.013730257647265048,0.0024180888544367576,0.001,1.0E-7,0.001958175849393473,0.0020000634354449733,2.866526209453507E-5,9.098926727748823E-4,5.303345171985043E-4,1.0E-7,6.468263834598567E-4,3.8E-4,1.0E-7,1.0E-7,0.0032727245616543986,0.16992175536138254,0.0020408090330433053,1.0E-7,9.981414758835209E-4,0.002001857612437691,0.001,0.002,1.0E-7,1.0E-7,0.0018490538392880785,0.001851989061219506,0.001,
50.0,0.0035883197312491445,1.0E-7,1.04426793213442E-6,1.0E-7,0.003091173966695151,1.0E-7,1.0E-7,1.2792432580321515E-4,1.0E-7,0.0038884337704238165,1.0E-7,1.0E-7,0.0011602848885978385,5.937778107351872E-5,0.0018622083874516462,5.409506257441553E-5,1.0E-7,0.0016638930986050738,0.002,1.0E-7,0.0010070863216488327,1.0E-7,7.529954281274629E-6,1.0E-7,1.0E-7,0.0018828816371922225,0.006779904078739394,0.010846496807244255,1.0E-7,1.0E-7,0.002,0.014706527168035617,6.108463291019662E-4,0.0020487446896572488,1.0E-7,4.816773568788723E-4,0.0026902450292811556,8.121347027549097E-4,0.0020057747372632505,6.109648796584948E-4,3.718550271874217E-4,1.0E-7,0.0043955688906077706,1.904180788076432E-4,0.001460805005330217,3.679892478018788E-4,1.0E-7,0.0169463155313133,9.837009635553417E-4,7.687079035759125E-4,9.995265503199376E-4,1.0E-7,0.0017040388335801727,0.00848778506286749,0.00546331799353052,1.265718204729136E-5,0.002323560857522666,0.0018795858773588347,6.8E-4,1.0E-7,0.0049,0.004415141237887062,1.0E-7,9.512805839758304E-4,1.0E-7,0.002210016408955259,0.00200253735110412,0.001,2.4E-5,1.0E-7,2.1E-4,0.0019459683349691448,0.0010000857928612714,0.001004257132106237,0.0222860154455296,5.434244580778457E-5,0.008398712598090824,0.0013609363852685194,1.0E-7,0.001878673202834585,4.3142591966316147E-4,2.05156847498799E-4,0.001700244052502437,4.364645842038334E-5,0.003619641358004196,1.0E-7,9.99872073184928E-4,1.7914108180316874E-4,6.918824349907145E-4,2.5770221039908217E-6,2.407754435537507E-4,1.3993153470470895E-5,0.005084487321335839,0.001024637019102664,1.418433601754666E-7,0.0019999365083625178,0.008084796004730346,0.0020500124026790498,0.001,2.9401452652448216E-4,0.0019481745545403839,0.0020000634894991845,2.889586597996158E-5,8.910207631239946E-4,5.20857781737946E-4,0.0016425401897646665,6.390530252422077E-4,3.8E-4,1.0E-7,0.0029036223055307893,0.0032660117016775347,0.24328690770797734,0.002050572664228778,1.0E-7,9.976280835838616E-4,0.0020023707403189895,0.001,0.002,1.0E-7,1.0E-7,0.001814809564448404,0.0018183789866039564,0.001,
60.0,0.003590269168455006,2.1910164046486883E-4,1.0E-7,1.0E-7,0.002783023709091936,2.8287736461930345E-4,1.0E-7,1.2993739586046897E-4,1.0E-7,0.006300447888649923,7.303279611163096E-6,1.0E-7,0.0012381545070676923,6.334729541927204E-5,0.0018585896592004277,1.0E-7,9.810002050012403E-5,1.0E-7,0.002,9.995922599000303E-8,0.0010080752053768188,1.1427121025751735E-5,8.533385598476058E-6,8.814984642933582E-4,3.0961795955884866E-6,0.002040732471859747,0.0066826990038969,1.0E-7,1.0E-7,1.8108729762468736E-5,0.002,0.02557328772544923,6.10936906996924E-4,0.002058151042572138,9.627284217259771E-5,1.3194334525655813E-4,0.0027123840226336224,1.0E-7,0.00200577474746207,6.205624499421418E-4,3.7334020651137153E-4,6.174089120473713E-5,0.0038919244636981282,2.3461274895692717E-4,0.00164114955850205,3.970729919846661E-4,1.0E-7,0.007875331893141128,9.275069603146483E-4,6.904612841897094E-4,9.995267516503886E-4,0.0037510136869039084,1.0E-7,1.0E-7,0.005468862055824585,6.54542849227417E-5,0.002325153029041182,0.0014568874497123837,6.8E-4,0.002445735648188485,0.0049,0.004579720793716716,0.0038886628514495955,9.418776966536052E-4,8.008225455639924E-5,0.004200073661188812,0.0020035101775716393,0.001,2.4E-5,2.461532160576861E-4,2.1E-4,0.0019392525110287439,0.0010001084885279418,0.001001616774244253,0.033530150966783225,5.642132161363655E-5,0.008398541906100928,0.0013223738024410688,1.3008521093733907E-4,0.0018868528855630453,4.349825499138982E-4,2.8973845987185847E-4,0.0017000565218499386,4.553761738439877E-5,0.0036243448370736056,1.0E-7,9.998651083160007E-4,1.093019398563244E-5,7.018055650193067E-4,2.4828223860495835E-6,2.4086384004442493E-4,2.5049957926099354E-5,0.005261674660544284,0.001024611412209993,1.0E-7,0.001999936510841334,1.0E-7,0.0027185732706343445,0.001,0.001615818320689141,0.0019383260811291455,0.0020000634870203683,2.9118999325418523E-5,8.66596051541142E-4,5.115438377942686E-4,0.006348823889210479,6.57706244367325E-4,3.8E-4,0.011709723563321697,0.03671425948438414,0.003311399684021019,0.11180069166780801,0.0020601893064952294,1.0E-7,9.971144029796407E-4,0.002002884156068819,0.001,0.002,1.0E-7,1.0E-7,0.0017818094486815954,0.0017859789380078063,0.001,
70.0,0.003507613309891044,1.0E-7,1.0E-7,1.0E-7,0.005333464285168398,1.0E-7,3.37014410018345E-4,1.2666302105363546E-4,5.097322429493669E-4,0.006474002046482726,1.0E-7,1.0E-7,0.0012595715045831742,6.372398538729127E-5,0.001828633769787267,2.03862848058684E-5,0.0012222337585102428,6.406737313831875E-6,0.002,4.923208310589506E-7,0.0010125952944887967,0.009626580451821014,9.991419696954429E-6,1.0E-7,1.0E-7,0.0020346949702377756,0.01865307929493306,3.7603515306576236E-4,8.363880883007969E-4,1.0E-7,0.002,0.004979450137493524,6.10875068546027E-4,0.002067434623442662,0.015225221058312597,1.0E-7,0.0027127990367204315,6.148221652118727E-4,0.00200577373141578,6.300340096962327E-4,4.558804092492065E-4,1.0E-7,0.009579984461659263,2.6068689974105373E-4,0.0016412860389974366,0.002624201043709926,7.408066137183349E-5,0.014798946967452301,9.702621801579772E-4,6.703201848970304E-4,9.994212959985034E-4,1.0E-7,4.7305291946253325E-4,0.00516270044017167,0.005986155391231513,2.3462288998590514E-5,0.002324895132107383,0.0036688592802107504,6.8E-4,1.0E-7,0.0049,0.004580240317787903,0.01500890972941692,9.325967550635546E-4,0.014186848332777165,0.004332276976092676,0.0020035091961856715,0.001,2.4E-5,0.004086291720206664,2.1E-4,0.0019310903641758083,0.0010001312988208533,0.0010006098634119057,0.04108127820294457,1.0E-7,0.008398339386515703,0.0013009321337960726,1.0E-7,0.0018904272209498267,4.385338551419196E-4,3.006302472678006E-4,0.0017508378153925457,4.8402584193591236E-5,0.003628035799492636,1.0E-7,9.99863464312353E-4,1.0469176235675302E-5,7.022316445717127E-4,3.693940873877222E-8,2.4080873345673498E-4,1.0E-7,0.005253537553787641,0.0010247367986220897,1.0E-7,0.001999859009481495,3.6169221959548637E-4,0.0019156769459614238,0.001,1.0E-7,0.0019291665479703828,0.0020001409823736716,2.9301388329023288E-5,8.498245342070935E-4,5.029253799148412E-4,1.0E-7,6.426637699807192E-4,3.8E-4,1.0E-7,1.0E-7,0.003301819837706157,0.11889384245550491,0.002069135720220187,1.0E-7,9.966247296681575E-4,0.0020033735883953946,0.001,0.002,1.0E-7,1.0E-7,0.0017499867072127092,0.001754724543999051,0.001,
80.0,0.003724777191998329,4.4104629915969236E-4,9.904789669504296E-7,1.0E-7,0.00480105903057452,4.792075837017522E-4,0.009007548774699382,1.2785513497051468E-4,0.004191091492085224,0.022431484693450483,1.4305127138069152E-5,1.0E-7,0.001145569883141031,6.418141184744466E-5,0.0018294112862126109,1.0E-7,1.0E-7,0.0021055168381882076,0.002,1.0E-7,0.0010120643309202986,0.012776384965331457,1.0979801915631468E-5,1.0E-7,1.0E-7,0.0020346259953734525,0.02665938832912987,0.01982799318145245,1.0E-7,1.6242095931791846E-5,0.002,0.026605998903552273,6.109592619171341E-4,0.002076613220134993,1.0E-7,1.0054727524985485E-7,0.0026718508086539705,1.0E-7,0.002005621568641265,6.394340621237702E-4,2.842049977139747E-4,1.0500629891373776E-4,0.00851505664968033,2.7887482224275536E-4,0.001802844742531117,1.8607826835259912E-4,1.0E-7,0.012450144234438673,8.608487905887117E-4,7.751555463796402E-4,9.991341503067402E-4,1.0E-7,1.0E-7,1.0E-7,0.005991287704163902,1.1947469827786628E-4,0.0023247961496254865,0.0013449098201039965,6.8E-4,0.0041763519565485106,0.0049,0.004582317247803331,1.0E-7,9.234208003038008E-4,1.0E-7,0.00787585345050124,0.002003170775072969,0.001,2.4E-5,1.0E-7,2.1E-4,0.0019262016478780884,0.0010001542134543742,9.963776767181359E-4,0.05139791166219335,5.902492173261322E-5,0.008398215182277558,0.0012861194255278153,8.302964382434678E-4,0.0019209205743312683,4.420835201015867E-4,3.0461576842380603E-4,0.0017410587847509974,5.160493356568863E-5,0.0036347408759569992,1.0E-7,9.998634734653177E-4,7.975110103663451E-6,7.0404390855494E-4,1.2406683326623196E-7,2.4072160847547877E-4,5.270345143102987E-5,0.005403988265409035,0.001026072460865769,1.0E-7,0.001999859009399042,2.707515384804328E-4,0.0016149875179596522,0.001,0.0013612657885603474,0.0019197425598747378,0.0020001409824561248,2.9545816364609308E-5,8.358761812471743E-4,4.940658110699813E-4,0.0144288086812223,6.761954277969839E-4,3.8E-4,1.0E-7,8.218831515896584E-6,0.0032917634494586023,0.22805704092045814,0.0020783422317741627,1.0E-7,9.960720487419083E-4,0.002003925962606608,0.001,0.002,1.0E-7,1.0E-7,0.001719279260944527,0.0017245559288273718,0.001,
90.0,0.003771988629753566,1.0E-7,1.0E-7,1.0E-7,0.009112976005840694,1.0E-7,1.0E-7,1.0231763881824861E-4,1.0E-7,0.03635611722137641,1.0E-7,1.0E-7,0.001224084280753413,6.427664285936662E-5,0.0018045700729030524,1.8153880528818035E-4,9.810001614987518E-5,0.0019626729433244966,0.002,9.995608076065508E-8,0.0010130527182688992,1.0E-7,1.6299144361575023E-5,8.815419187837317E-4,2.2281873379875526E-6,0.002003581494735456,0.008058868131946678,1.0E-7,1.0E-7,1.0E-7,0.002,0.03481034736986379,6.109599077029398E-4,0.0020856582867926857,9.609996687506847E-5,1.6858308081839478E-7,0.0027355881564866337,0.0010239535095381087,0.0020053061621861214,6.486242449387632E-4,2.787442155013844E-4,1.0E-7,0.019548908742948238,2.940087752394563E-4,0.0018028704873478177,2.1516510502203712E-4,1.0E-7,0.009349468286166309,9.414125553643741E-4,6.975794017607491E-4,9.991343648526815E-4,0.003744098675002739,0.015391532383559146,0.019505498115314015,0.018401702112023792,3.968127892566234E-5,0.00232454677775582,9.343913871185093E-4,6.8E-4,1.0E-7,0.0049,0.004589590494144958,0.002223392459066301,9.143783650656176E-4,2.3226295142026942E-4,0.007109393821320284,0.0020028774394026884,0.001,2.4E-5,7.564343351677573E-5,2.1E-4,0.0019231646953672334,0.0010001772469324936,9.909295014841261E-4,0.03982043695271932,8.469173700463483E-5,0.00839809475540997,0.001273815471307933,1.0E-7,0.0019213917440254365,4.456333623186555E-4,3.531829050848603E-4,0.0017496917151005314,5.476220847974535E-5,0.0036325724001684454,1.0E-7,9.99863296170986E-4,6.27752870851449E-7,7.042828658710037E-4,2.5665248383484723E-7,2.405915731040343E-4,4.904393617690512E-5,0.005417978312726852,0.0010260572079268157,2.098080671433579E-6,0.0019998154792312097,1.0E-7,0.002342219570275504,0.001,0.005670265941750077,0.0019104519667339226,0.002000184510728839,2.9789936195700673E-5,8.160659261053071E-4,4.8537374574062685E-4,0.0015343423760665687,6.49658010239652E-4,3.8E-4,7.32732700155667E-5,0.0119816493126292,0.003327213246029616,0.3285063914601416,0.002087420865537589,1.0E-7,9.95505557526908E-4,0.002004492131422434,0.001,0.002,1.0E-7,1.0E-7,0.0016896293285168088,0.001695417326067229,0.001,
